ID,IN,OUT,soc,cap
74558,25,82,40.12,60
92629,16,78,28.21,60
60135,31,70,34.26,60
65254,26,78,33.47,60
129065,37,77,29.5,60
5102,32,67,37.95,60
98157,28,67,57.02,60
124030,33,73,47.37,60
1315,56,66,26.97,60
104777,62,84,35.14,60
116045,41,62,26.9,60
18549,46,68,33.93,60
141280,17,46,27.13,60
17035,34,57,7.22,60
100217,31,70,17.84,60
85035,38,70,40.95,60
95167,46,58,36.67,60
67129,27,68,23.77,60
81479,36,62,21.57,60
140915,36,54,32.86,60
96378,28,74,13.52,60
136366,46,73,15.09,60
9530,31,58,24.08,60
125859,26,75,46.73,60
62005,32,72,18.9,60
104530,32,85,48.92,60
47603,52,72,26.99,60
134548,29,83,32.62,60
146677,53,54,57.58,60
109832,36,44,25.14,60
72365,26,69,39.88,60
115078,53,60,28.69,60
129531,66,78,50.32,60
39997,32,68,31.89,60
57905,39,75,40.06,60
54981,35,58,37.99,60
35411,30,67,34.37,60
117462,35,74,18.85,60
152861,34,64,54.89,60
13166,28,55,22.06,60
35575,27,91,14.45,60
93904,44,88,16.67,60
35591,30,60,34.55,60
86835,41,54,12.9,60
86429,32,75,41.75,60
115155,27,67,44.45,60
124654,31,66,19.32,60
82923,39,65,35.35,60
57385,22,54,47.48,60
108558,39,83,55.66,60
41081,25,69,29.37,60
50808,30,66,47.18,60
145901,31,39,26.16,60
86692,45,81,54.9,60
108660,43,62,31.74,60
117917,27,65,40.34,60
28919,41,78,19.39,60
115518,34,73,20.13,60
86741,30,69,50.08,60
152149,53,87,40.85,60
47500,35,50,44.17,60
56504,30,81,54.47,60
64118,48,62,20.08,60
128117,40,88,40.04,60
65962,43,67,42.74,60
47971,28,69,44.04,60
25790,31,70,10.31,60
22404,22,53,29.29,60
138008,51,72,27.72,60
123024,43,76,32.98,60
44823,32,47,1.86,60
40194,26,39,21.69,60
37078,38,61,19.95,60
90396,32,70,57.35,60
77181,33,71,45.26,60
138031,35,82,47.96,60
93849,34,61,58.41,60
9396,46,80,10,60
97915,44,56,35.98,60
69542,24,70,37.54,60
83925,22,75,34.73,60
66152,36,82,25.18,60
96552,30,72,38.19,60
106079,24,67,12.53,60
40479,28,70,34.05,60
54081,37,51,26.77,60
103570,36,48,42.69,60
80759,32,75,20.56,60
90130,17,57,33.56,60
72376,74,85,18.5,60
71461,55,65,20.93,60
56839,77,85,56.36,60
136960,30,61,50.51,60
37191,37,63,55.91,60
25439,32,73,21.99,60
38402,28,61,29.2,60
8871,34,91,10.17,60
114525,30,72,33.91,60
143397,36,74,33.19,60
48158,52,74,33.51,60
130359,29,68,51.68,60
138943,28,71,35.8,60
123011,61,70,21.24,60
123979,40,58,26.89,60
1646,31,71,23.93,60
23819,38,49,27.96,60
11617,29,48,30,60
53203,38,48,41.14,60
135813,56,82,43.4,60
20498,30,80,35.86,60
113584,31,75,41.76,60
102945,31,42,53.7,60
67222,36,86,37.29,60
93551,48,70,20.57,60
107880,32,78,41.6,60
108518,30,53,26.1,60
43515,31,71,35.65,60
67657,26,75,7.77,60
138636,32,82,34.69,60
1631,30,81,12.1,60
96711,56,59,53.13,60
8852,30,82,51.28,60
2329,68,76,41.81,60
15319,27,72,29.14,60
152679,47,91,56.03,60
34642,30,67,37.67,60
122872,54,64,36.3,60
49728,39,80,33.32,60
91288,60,94,14.75,60
20130,31,52,47.58,60
67098,54,60,37.73,60
79890,29,73,11.52,60
11511,33,72,44.98,60
18809,20,61,19.88,60
144798,39,77,28.74,60
94899,35,38,56.24,60
132572,39,59,27.75,60
67547,33,71,12.56,60
60699,30,91,49.22,60
4022,30,66,55.33,60
5638,22,77,46.01,60
128723,47,54,41.73,60
80632,26,77,12.59,60
124611,26,61,13.07,60
95171,35,73,9.79,60
127097,57,71,36.17,60
39147,35,40,53.03,60
88343,30,84,44.47,60
148601,32,34,50.04,60
79362,46,61,50.93,60
56350,27,67,24.44,60
121765,39,54,47.33,60
143160,32,64,7.58,60
56322,27,72,15.64,60
108757,40,73,9.25,60
26259,47,73,37.46,60
15039,39,48,44.22,60
107291,30,71,20.55,60
40850,26,51,11.83,60
76896,22,75,20.93,60
95550,52,60,36.6,60
117894,25,66,36,60
31962,20,60,14.7,60
13156,36,62,40.13,60
26846,39,74,58.05,60
77294,35,70,43.43,60
40146,32,78,25.49,60
7541,56,65,25.15,60
8364,32,39,36.24,60
116996,27,77,37.17,60
11336,38,54,28.07,60
95951,56,62,51.5,60
108392,34,79,43.27,60
86168,31,46,38.18,60
75277,34,60,33.81,60
100593,40,46,48.94,60
138759,31,35,57.63,60
22330,33,70,39.52,60
60105,30,65,6.15,60
93073,22,79,54.08,60
44597,38,81,30.54,60
123505,54,73,33.96,60
120784,29,86,20.08,60
47106,34,67,25.9,60
34198,43,82,47.32,60
76093,40,50,28.5,60
108250,32,68,42.09,60
51330,34,72,19.4,60
107239,44,57,10.28,60
22607,31,71,51.31,60
29133,42,50,52.93,60
16498,25,61,55.06,60
123462,58,95,35.86,60
84667,30,61,17.15,60
21347,29,77,28.91,60
68297,39,80,21.77,60
24562,36,69,28.18,60
107517,54,71,22.99,60
65681,40,93,21.48,60
60255,34,83,47.28,60
111337,30,69,10.24,60
98671,32,73,17.71,60
66506,31,67,41.91,60
41648,40,83,22.03,60
73185,25,71,5.97,60
32439,39,71,29.45,60
60925,30,63,53.09,60
70187,43,80,36.42,60
102448,31,70,32.55,60
48358,33,42,43.3,60
153845,28,67,23.61,60
153792,24,57,55.56,60
134377,31,68,11.04,60
46564,58,93,46.17,60
152840,29,47,28.53,60
122955,42,91,51.85,60
45005,24,63,30.45,60
36325,43,89,17.08,60
123680,31,78,15.32,60
96926,34,68,25.91,60
5006,68,90,47.55,60
49912,32,53,20.68,60
90550,28,58,54.78,60
45240,30,79,22.06,60
58959,36,57,11.09,60
92183,55,95,42.57,60
98607,52,61,52.53,60
122741,39,78,39.63,60
14498,33,63,12.15,60
93118,70,84,55.5,60
488,30,78,22.11,60
144210,41,49,44.39,60
58380,46,63,13.71,60
4913,27,83,16.85,60
99635,44,58,15.12,60
51092,28,61,12.18,60
71801,30,71,17.27,60
40193,38,94,16.24,60
32874,47,83,34.21,60
84532,50,89,34.29,60
8671,26,66,13.25,60
61612,41,71,37.43,60
98798,34,54,14.91,60
118941,36,60,37.48,60
85634,23,71,37.7,60
77498,58,65,39.58,60
63245,28,80,26.07,60
99278,40,59,48.43,60
116825,56,72,49.03,60
44681,34,83,27.08,60
109510,42,66,27.22,60
47922,77,81,42.39,60
150059,26,77,34.5,60
138213,28,75,52.26,60
100228,23,86,53.58,60
90146,69,74,40.43,60
80969,29,72,9.41,60
154467,28,70,34.19,60
17215,40,47,36.14,60
132660,39,60,46.33,60
47023,47,62,50.09,60
8761,33,70,27.2,60
83143,24,56,35.2,60
56429,23,74,26.91,60
51520,44,58,41.16,60
32337,26,73,22.79,60
129228,31,57,46.47,60
124162,68,85,51.64,60
1496,38,68,20.89,60
5433,44,82,31.1,60
105397,61,78,37.99,60
98724,26,44,31.06,60
103672,32,56,36.89,60
6346,39,69,17.36,60
94007,33,74,47.12,60
106244,60,66,32.23,60
66786,44,91,50.09,60
117030,25,89,43.07,60
84299,35,69,32.84,60
134600,29,70,41.54,60
33118,32,66,43.28,60
40863,31,40,22.23,60
98472,34,64,46.74,60
40391,40,85,48.19,60
87822,66,95,25.66,60
86718,36,81,41,60
116259,32,60,41.8,60
1828,42,48,36.27,60
102671,34,42,34.08,60
40883,29,87,15.85,60
149315,23,72,5.93,60
112164,38,52,36.9,60
58411,37,61,10.39,60
150613,22,70,21.31,60
43630,30,85,24.02,60
49152,39,76,10.48,60
97162,38,76,35.9,60
122607,28,61,23.22,60
155428,23,73,9.77,60
25136,84,86,54.19,60
52370,52,65,52.12,60
134665,39,90,25.59,60
52488,48,64,21.17,60
27352,28,69,19.24,60
131433,31,71,51.43,60
89892,41,83,38.48,60
67897,40,54,12.07,60
74514,32,61,34.27,60
47898,35,75,3.6,60
103932,40,63,38.91,60
27822,38,78,29.3,60
56960,42,84,32.03,60
76529,32,77,15.86,60
8730,39,51,29.97,60
30253,44,68,46.43,60
16282,26,54,51.6,60
141236,34,45,37.58,60
101784,66,77,53.04,60
146905,37,59,13.7,60
66605,46,51,37.53,60
8456,23,63,52.45,60
151829,65,90,57.2,60
112171,29,74,33.16,60
88255,55,67,57.25,60
